代號	名稱	國際證券辨識號碼(ISIN Code)	上市日	市場別	產業別	CFICode	備註
00400A	主動國泰動能高息	TW00000400A3	2026/04/09	上市		CEOJEU	
00401A	主動摩根台灣鑫收	TW00000401A1	2026/04/10	上市		CEOILU	
0050	元大台灣50	TW0000050004	2003/06/30	上市		CEOGEU	
0051	元大中型100	TW0000051002	2006/08/31	上市		CEOGEU	
0052	富邦科技	TW0000052000	2006/09/12	上市		CEOGEU	
0053	元大電子	TW0000053008	2007/07/16	上市		CEOGEU	
0055	元大MSCI金融	TW0000055003	2007/07/16	上市		CEOGEU	
0056	元大高股息	TW0000056001	2007/12/26	上市		CEOGEU	
0057	富邦摩台	TW0000057009	2008/02/27	上市		CEOGEU	
0061	元大寶滬深	TW0000061001	2009/08/17	上市		CEOGEU	
006203	元大MSCI台灣	TW0000062033	2011/05/12	上市		CEOGEU	
006204	永豐臺灣加權	TW0000062041	2011/09/28	上市		CEOGEU	
006205	富邦上証	TW0000062058	2011/09/26	上市		CEOGEU	
006206	元大上證50	TW0000062066	2012/05/11	上市		CEOGEU	
006207	復華滬深	TW0000062074	2012/06/22	上市		CEOGEU	
006208	富邦台50	TW0000062082	2012/07/17	上市		CEOGEU	
00625K	富邦上証+R	TW00000625K4	2016/08/08	上市		CEOGEU	
00631L	元大台灣50正2	TW00000631L0	2014/10/31	上市		CEOGDU	
00632R	元大台灣50反1	TW00000632R5	2014/10/31	上市		CEOGDU	
00633L	富邦上証正2	TW00000633L6	2014/11/25	上市		CEOGDU	
00634R	富邦上証反1	TW00000634R1	2014/11/25	上市		CEOGDU	
00635U	期元大S&P黃金	TW00000635U2	2015/04/15	上市		CEOGDU	
00636	國泰中國A50	TW0000063601	2015/04/01	上市		CEOGEU	
00636K	國泰中國A50+U	TW00000636K1	2017/10/24	上市		CEOGEU	
00637L	元大滬深300正2	TW00000637L7	2015/05/18	上市		CEOGDU	
00638R	元大滬深300反1	TW00000638R2	2015/05/18	上市		CEOGDU	
00639	富邦深100	TW0000063908	2015/06/09	上市		CEOGEU	
00640L	富邦日本正2	TW00000640L1	2015/09/10	上市		CEOGDU	
00641R	富邦日本反1	TW00000641R6	2015/09/10	上市		CEOGDU	
00642U	期元大S&P石油	TW00000642U8	2015/09/07	上市		CEOGDU	
00643	群益深証中小	TW0000064302	2015/12/02	上市		CEOGEU	
00643K	群益深証中小+R	TW00000643K7	2016/08/26	上市		CEOGEU	
00645	富邦日本	TW0000064500	2015/11/06	上市		CEOGEU	
00646	元大S&P500	TW0000064609	2015/12/14	上市		CEOGEU	
00647L	元大S&P500正2	TW00000647L6	2015/12/14	上市		CEOGDU	
00648R	元大S&P500反1	TW00000648R1	2015/12/14	上市		CEOGDU	
00650L	復華香港正2	TW00000650L0	2016/01/27	上市		CEOGDU	
00651R	復華香港反1	TW00000651R5	2016/01/27	上市		CEOGDU	
00652	富邦印度	TW0000065200	2016/03/29	上市		CEOGEU	
00653L	富邦印度正2	TW00000653L4	2016/03/29	上市		CEOGEU	
00654R	富邦印度反1	TW00000654R9	2016/03/29	上市		CEOGEU	
00655L	國泰中國A50正2	TW00000655L9	2016/03/18	上市		CEOGDU	
00656R	國泰中國A50反1	TW00000656R4	2016/03/18	上市		CEOGDU	
00657	國泰日經225	TW0000065705	2016/05/09	上市		CEOGEU	
00657K	國泰日經225+U	TW00000657K7	2017/10/24	上市		CEOGEU	
00660	元大歐洲50	TW0000066000	2016/07/15	上市		CEOGEU	
00661	元大日經225	TW0000066109	2016/07/15	上市		CEOGEU	
00662	富邦NASDAQ	TW0000066208	2016/06/24	上市		CEOGEU	
00663L	國泰臺灣加權正2	TW00000663L3	2016/07/14	上市		CEOGDU	
00664R	國泰臺灣加權反1	TW00000664R8	2016/07/14	上市		CEOGDU	
00665L	富邦恒生國企正2	TW00000665L8	2016/08/05	上市		CEOGDU	
00666R	富邦恒生國企反1	TW00000666R3	2016/08/05	上市		CEOGDU	
00668	國泰美國道瓊	TW0000066802	2016/10/17	上市		CEOGEU	
00668K	國泰美國道瓊+U	TW00000668K4	2017/10/24	上市		CEOGEU	
00669R	國泰美國道瓊反1	TW00000669R7	2016/10/17	上市		CEOGEU	
00670L	富邦NASDAQ正2	TW00000670L8	2017/02/21	上市		CEOGDU	
00671R	富邦NASDAQ反1	TW00000671R3	2017/02/21	上市		CEOGDU	
00673R	期元大S&P原油反1	TW00000673R9	2016/10/07	上市		CEOGDU	
00674R	期元大S&P黃金反1	TW00000674R7	2016/10/07	上市		CEOGDU	
00675L	富邦臺灣加權正2	TW00000675L7	2016/10/05	上市		CEOGDU	
00676R	富邦臺灣加權反1	TW00000676R2	2016/10/05	上市		CEOGDU	
00678	群益那斯達克生技	TW0000067800	2017/01/09	上市		CEOGEU	
00680L	元大美債20正2	TW00000680L7	2017/01/17	上市		CEOGDU	
00681R	元大美債20反1	TW00000681R2	2017/01/17	上市		CEOGDU	
00682U	期元大美元指數	TW00000682U4	2017/03/14	上市		CEOGMU	
00683L	期元大美元指正2	TW00000683L1	2017/03/14	上市		CEOGMU	
00684R	期元大美元指反1	TW00000684R6	2017/03/14	上市		CEOGMU	
00685L	群益臺灣加權正2	TW00000685L6	2017/03/30	上市		CEOGEU	
00686R	群益臺灣加權反1	TW00000686R1	2017/03/30	上市		CEOGEU	
00688L	國泰20年美債正2	TW00000688L0	2017/04/13	上市		CEOGBU	
00689R	國泰20年美債反1	TW00000689R5	2017/04/13	上市		CEOGBU	
00690	兆豐藍籌30	TW0000069004	2017/03/31	上市		CEOGEU	
00692	富邦公司治理	TW0000069202	2017/05/17	上市		CEOGEU	
00693U	期街口S&P黃豆	TW00000693U1	2017/04/25	上市		CEOGCU	
00700	富邦恒生國企	TW0000070002	2017/07/21	上市		CEOGEU	
00701	國泰股利精選30	TW0000070101	2017/08/17	上市		CEOJEU	
00702	國泰標普低波高息	TW0000070200	2017/08/17	上市		CEOJEU	
00703	台新MSCI中國	TW0000070309	2017/08/10	上市		CEOGEU	
00706L	期元大S&P日圓正2	TW00000706L0	2017/09/01	上市		CEOGDU	
00707R	期元大S&P日圓反1	TW00000707R5	2017/09/01	上市		CEOGDU	
