有價證券代號	名稱	國際證券辨識號碼(ISIN Code)	上市日	市場別	產業別	CFICode	備註
1240	茂生農經	TW0001240000	2018/08/08	上櫃	農業科技業	ESVUFR	
1259	安心	TW0001259000	2011/12/15	上櫃	觀光餐旅	ESVUFR	
1264	德麥	TW0001264000	2015/04/09	上櫃	食品工業	ESVUFR	
1268	漢來美食	TW0001268001	2017/09/27	上櫃	觀光餐旅	ESVUFR	
1294	漢田生技	TW0001294007	2024/09/26	上櫃	食品工業	ESVUFR	
1295	生合	TW0001295004	2025/05/27	上櫃	食品工業	ESVUFR	
1336	台翰	TW0001336006	2007/11/02	上櫃	電子零組件業	ESVUFR	
1565	精華	TW0001565000	2004/03/30	上櫃	生技醫療業	ESVUFR	
1569	濱川	TW0001569002	2005/07/29	上櫃	電腦及週邊設備業	ESVUFR	
1570	力肯	TW0001570000	2005/06/30	上櫃	電機機械	ESVUFR	
1580	新麥	TW0001580009	2007/12/10	上櫃	電機機械	ESVUFR	
1584	精剛	TW0001584001	2007/11/28	上櫃	其他業	ESVUFR	
1586	和勤	TW0001586006	2012/01/09	上櫃	電機機械	ESVUFR	
1591	駿吉-KY	KYG4782L1023	2012/03/23	上櫃	電機機械	ESVUFR	
1593	祺驊	TW0001593002	2012/06/13	上櫃	運動休閒	ESVUFR	
1595	川寶	TW0001595007	2011/10/04	上櫃	電子零組件業	ESVUFR	
1599	宏佳騰	TW0001599009	2012/12/25	上櫃	電機機械	ESVUFR	
1742	台蠟	TW0001742005	2004/05/14	上櫃	化學工業	ESVUFR	
1777	生泰	TW0001777001	2005/10/19	上櫃	生技醫療業	ESVUFR	
1781	合世	TW0001781003	2004/12/24	上櫃	生技醫療業	ESVUFR	
1784	訊聯	TW0001784007	2007/07/26	上櫃	生技醫療業	ESVUFR	
1785	光洋科	TW0001785004	2005/01/31	上櫃	其他電子業	ESVUFR	
1788	杏昌	TW0001788008	2009/07/20	上櫃	生技醫療業	ESVUFR	
1796	金穎生技	TW0001796001	2018/01/22	上櫃	食品工業	ESVUFR	
1799	易威	TW0001799005	2008/11/10	上櫃	生技醫療業	ESVUFR	
1813	寶利徠	TW0001813004	2009/08/04	上櫃	生技醫療業	ESVUFR	
1815	富喬	TW0001815009	2006/01/23	上櫃	電子零組件業	ESVUFR	
2035	唐榮	TW0002035003	2006/07/07	上櫃	鋼鐵工業	ESVUFR	
2061	風青	TW0002061009	2010/12/09	上櫃	電器電纜	ESVUFR	
2063	世鎧	TW0002063005	2010/09/07	上櫃	鋼鐵工業	ESVUFR	
2064	晉椿	TW0002064003	2014/12/26	上櫃	鋼鐵工業	ESVUFR	
2065	世豐	TW0002065000	2017/04/21	上櫃	鋼鐵工業	ESVUFR	
2066	世德	TW0002066008	2013/09/24	上櫃	電機機械	ESVUFR	
2067	嘉鋼	TW0002067006	2014/05/26	上櫃	電機機械	ESVUFR	
2070	精湛	TW0002070000	2018/12/17	上櫃	電機機械	ESVUFR	
2073	雄順	TW0002073004	2023/06/21	上櫃	鋼鐵工業	ESVUFR	
2221	大甲	TW0002221009	2007/08/01	上櫃	其他業	ESVUFR	
2230	泰茂	TW0002230000	2013/04/18	上櫃	電機機械	ESVUFR	
2235	謚源	TW0002235009	2014/12/15	上櫃	電機機械	ESVUFR	
2596	綠意	TW0002596004	2009/06/01	上櫃	建材營造業	ESVUFR	
2640	大車隊	TW0002640000	2012/11/07	上櫃	數位雲端	ESVUFR	
2641	正德	TW0002641008	2014/10/09	上櫃	航運業	ESVUFR	
2643	捷迅	TW0002643004	2016/03/04	上櫃	航運業	ESVUFR	
2718	全心投控	TW0002718004	2011/03/29	上櫃	建材營造業	ESVUFR	
2719	燦星旅	TW0002719002	2012/02/24	上櫃	觀光餐旅	ESVUFR	
2724	藝舍-KY	KYG3704Y1017	2012/05/29	上櫃	其他業	ESVUFR	
2726	雅茗-KY	KYG988361021	2014/12/24	上櫃	觀光餐旅	ESVUFR	
2729	瓦城	TW0002729001	2012/09/17	上櫃	觀光餐旅	ESVUFR	
2732	六角	TW0002732005	2015/01/20	上櫃	觀光餐旅	ESVUFR	
2734	易飛網	TW0002734001	2013/12/26	上櫃	觀光餐旅	ESVUFR	
2736	富野	TW0002736006	2016/01/06	上櫃	觀光餐旅	ESVUFR	
2740	華軒	TW0002740008	2015/12/24	上櫃	觀光餐旅	ESVUFR	
2743	山富	TW0002743002	2020/03/09	上櫃	觀光餐旅	ESVUFR	
2745	五福	TW0002745007	2018/04/16	上櫃	觀光餐旅	ESVUFR	
2751	王座	TW0002751005	2024/09/10	上櫃	觀光餐旅	ESVUFR	
2752	豆府	TW0002752003	2019/09/25	上櫃	觀光餐旅	ESVUFR	
2754	亞洲藏壽司	TW0002754009	2020/09/17	上櫃	觀光餐旅	ESVUFR	
2755	揚秦	TW0002755006	2020/12/16	上櫃	觀光餐旅	ESVUFR	
2756	聯發國際	TW0002756004	2022/01/14	上櫃	觀光餐旅	ESVUFR	
2916	滿心	TW0002916004	2005/03/10	上櫃	居家生活	ESVUFR	
2924	宏太-KY	KYG198691092	2011/12/02	上櫃	居家生活	ESVUFR	
2926	誠品生活	TW0002926003	2013/01/30	上櫃	文化創意業	ESVUFR	
2937	集雅社	TW0002937000	2017/06/08	上櫃	居家生活	ESVUFR	
2941	米斯特	TW0002941002	2024/03/20	上櫃	居家生活	ESVUFR	
2947	振宇五金	TW0002947009	2021/10/06	上櫃	居家生活	ESVUFR	
2948	寶陞	TW0002948007	2023/12/12	上櫃	居家生活	ESVUFR	
2949	欣新網	TW0002949005	2023/12/15	上櫃	數位雲端	ESVUFR	
3064	泰偉	TW0003064002	2004/06/09	上櫃	文化創意業	ESVUFR	
3066	李洲	TW0003066007	2004/12/02	上櫃	光電業	ESVUFR	
3067	全域	TW0003067005	2003/10/21	上櫃	其他電子業	ESVUFR	
3071	協禧	TW0003071007	2004/12/30	上櫃	電腦及週邊設備業	ESVUFR	
3073	天方能源	TW0003073003	2007/10/08	上櫃	綠能環保	ESVUFR	
3078	僑威	TW0003078002	2005/01/31	上櫃	電子零組件業	ESVUFR	
3081	聯亞	TW0003081006	2015/07/22	上櫃	通信網路業	ESVUFR	
3083	網龍	TW0003083002	2003/12/02	上櫃	文化創意業	ESVUFR	
3085	新零售	TW0003085007	2004/03/01	上櫃	數位雲端	ESVUFR	
3086	華義*	TW0003086005	2004/03/29	上櫃	文化創意業	ESVUFR	
3088	艾訊	TW0003088001	2005/04/28	上櫃	電腦及週邊設備業	ESVUFR	
3093	港建*	TW0003093001	2005/06/17	上櫃	其他電子業	ESVUFR	
3095	及成	TW0003095006	2005/05/26	上櫃	通信網路業	ESVUFR	
3105	穩懋	TW0003105003	2011/12/13	上櫃	半導體業	ESVUFR	
3114	好德	TW0003114005	2004/03/25	上櫃	電子零組件業	ESVUFR	
3115	富榮綱	TW0003115002	2005/04/08	上櫃	電子零組件業	ESVUFR	
3118	進階	TW0003118006	2008/05/21	上櫃	生技醫療業	ESVUFR	
3122	笙泉	TW0003122008	2015/01/26	上櫃	半導體業	ESVUFR	
3128	昇銳	TW0003128005	2006/09/04	上櫃	光電業	ESVUFR	
3131	弘塑	TW0003131009	2011/01/17	上櫃	其他電子業	ESVUFR	
3141	晶宏	TW0003141008	2014/03/14	上櫃	半導體業	ESVUFR	
3147	大綜	TW0003147005	2018/05/29	上櫃	資訊服務業	ESVUFR	
3152	璟德	TW0003152005	2008/03/24	上櫃	通信網路業	ESVUFR	
3158	嘉實	TW0003158002	2025/11/17	上櫃	資訊服務業	ESVUFR	
3162	精確	TW0003162004	2005/10/03	上櫃	電機機械	ESVUFR	
3163	波若威	TW0003163002	2012/12/03	上櫃	通信網路業	ESVUFR	
3169	亞信	TW0003169009	2009/11/24	上櫃	半導體業	ESVUFR	
3171	炎洲流通	TW0003171005	2004/09/17	上櫃	居家生活	ESVUFR	
3176	基亞	TW0003176004	2011/11/23	上櫃	生技醫療業	ESVUFR	
3178	公準	TW0003178000	2018/11/19	上櫃	半導體業	ESVUFR	
3188	鑫龍騰	TW0003188009	2004/03/17	上櫃	建材營造業	ESVUFR	
3191	雲嘉南	TW0003191003	2005/04/12	上櫃	電子零組件業	ESVUFR	
3205	佰研	TW0003205001	2005/09/12	上櫃	生技醫療業	ESVUFR	
3206	志豐	TW0003206009	2007/02/08	上櫃	電子零組件業	ESVUFR	
3207	耀勝	TW0003207007	2004/11/04	上櫃	電子零組件業	ESVUFR	
3211	順達	TW0003211009	2004/11/08	上櫃	電腦及週邊設備業	ESVUFR	
3213	茂訊	TW0003213005	2004/10/01	上櫃	電腦及週邊設備業	ESVUFR	
3217	優群	TW0003217006	2004/04/30	上櫃	電子零組件業	ESVUFR	
3218	大學光	TW0003218004	2004/11/29	上櫃	生技醫療業	ESVUFR	
3219	倚強科	TW0003219002	2004/03/19	上櫃	其他電子業	ESVUFR	
3221	台嘉碩	TW0003221008	2006/02/22	上櫃	通信網路業	ESVUFR	
3224	三顧	TW0003224002	2004/06/03	上櫃	電子通路業	ESVUFR	
3226	龍鋒	TW0003226007	2004/06/16	上櫃	電機機械	ESVUFR	
3227	原相	TW0003227005	2006/05/04	上櫃	半導體業	ESVUFR	
3228	金麗科	TW0003228003	2005/03/02	上櫃	半導體業	ESVUFR	
3230	錦明	TW0003230009	2006/09/25	上櫃	光電業	ESVUFR	
3232	昱捷	TW0003232005	2004/11/01	上櫃	電子通路業	ESVUFR	
3234	光環	TW0003234001	2011/03/24	上櫃	通信網路業	ESVUFR	
